,Unnamed: 0,N,Dimension,Subdimension,Pregunta,Opciones,Tipo de Pregunta,Dependencia,Comentario
0,,1,Estrategia y direccion,Responsable,¿La alta dirección ha designado un responsable de la implementación de la estrategia de gestión del conocimiento en la organización?,"Sí,  No",Sí o No,,"En el caso de ARPL, directamente marcar 1. No mostrar la pregunta"
1,,2,Estrategia y direccion,Responsable,"¿Cuán de acuerdo está con esta afirmación: ""El responsable del sistema de gestión del conocimiento tiene los conocimientos y habilidades necesarios para desarrollar las estrategias de gestión del conocimiento""?","1 (Muy en desacuerdo), 5 (Muy de acuerdo)",Likert,1.0,"Dependen de la pregunta 1. Sí marcó sí, mostrar la pregunta. En el caso de ARPL, directamente marcar 1. No mostrar la pregunta"
2,,3,Estrategia y direccion,Plan estrategico,¿Está al tanto de las estrategias de gestión del conocimiento implementadas en la organización?,"1 (Nada informado), 2 (Poco informado), 3 (Neutral), 4 (Bien informado), 5 (Muy bien informado)",Likert,,
3,,4,Estrategia y direccion,Plan estrategico,¿En qué medida considera que las estrategias de gestión del conocimiento están alineadas con los objetivos generales de la empresa?,"1 (Muy desalineadas), 2 (Desalineadas), 3 (Neutras), 4 (Alineadas), 5 (Muy alineadas)",Likert,,
4,,5,Estrategia y direccion,Plan estrategico,¿Cuáles de los siguientes obstáculos ha observado en la implementación de la gestión del conocimiento? (Seleccione todas las que apliquen),"Falta de presupuesto, Resistencia al cambio, Falta de formación, Ineficientes herramientas digitales, Falta de motivación, Otros (escribir respuesta)",Opción múltiple,,
5,,6,Estrategia y direccion,Plan estrategico,¿Cuáles de las siguientes áreas cree que necesitan más atención para la estrategia de la gestión del conocimiento? (Seleccione todas las que apliquen),"Formación y capacitación, Tecnologías, Cultura organizacional, Liderazgo, Procesos, Motivación, Otros (especificar)",Opción múltiple,,
6,,7,Estrategia y direccion,Definicion de gestion del conocimiento,¿En qué medida conoce la definición de gestión del conocimiento de ARPL?,"1 (Nada), 2 (Poco), 3 (Moderadamente), 4 (Bien), 5 (Muy bien)",Likert,,
7,,8,Estrategia y direccion,Definicion de gestion del conocimiento,Mencione usted los principales puntos de la definición de gestión del conocimiento de ARPL,Respuesta abierta,Respuesta abierta,1.0,"Depende de la pregunta 7. Si marca 3 o más, mostrar la pregunta"
8,,9,Estrategia y direccion,Presupuesto,"¿Cuán de acuerdo está con esta afirmación: ""El presupuesto asignado para la gestión del conocimiento es suficiente para su efectiva implementación""?","1 (Muy en desacuerdo), 5 (Muy de acuerdo)",Likert,,"Para el caso de ARPL, no mostrar la pregunta. Marcar 1 directamente"
9,,10,Humana,Liderazgo,"¿Cuán de acuerdo está con esta afirmación: ""La alta dirección, los gerentes y los líderes de comunidad están comprometidos y abordan los cambios necesarios con la implementación de la gestión del conocimiento""?","1 (Muy en desacuerdo), 5 (Muy de acuerdo)",Likert,,
10,,11,Humana,Cultura,"¿Cuán de acuerdo está usted con esta afirmación: ""Mis compañeros de trabajo comparten sus conocimientos conmigo""?","1 (Muy en desacuerdo), 5 (Muy de acuerdo)",Likert,,
11,,12,Humana,Cultura,"¿Cuán de acuerdo está usted con esta afirmación: ""Yo estoy dispuesto a compartir mis conocimientos con mis compañeros de trabajo""?","1 (Muy en desacuerdo), 5 (Muy de acuerdo)",Likert,,
12,,13,Humana,Cultura,"¿Cuán de acuerdo está usted con esta afirmación: ""Existe motivación y entusiasmo por implementar la gestión del conocimiento en la empresa ""?","1 (Muy en desacuerdo), 5 (Muy de acuerdo)",Likert,,
13,,14,Humana,Cultura,"¿Cuán de acuerdo está usted con esta afirmación: ""Siento la confianza de preguntar abiertamente cualquier duda a mis compañeros o jefes de trabajo, sin ser juzgado""?","1 (Muy en desacuerdo), 5 (Muy de acuerdo)",Likert,,
14,,15,Humana,Cultura,¿Cuáles consideras son los mayores obstáculos para compartir conocimiento?,"La falta de confianza entre los miembros, El tiempo escaso para compartir información, La escasa practicidad de las plataformas digitales, Los bajos incentivos para compartir conocimiento, La actitud de las personas, Otro (especificar)",Opción múltiple,,
15,,16,Humana,Comunidades de conocimiento,¿La organización ha implementado comunidades de conocimiento?,"Sí, No",Sí o No,,
16,,17,Humana,Comunidades de conocimiento,¿Cuánto considera que las comunidades de conocimiento han beneficiado a los miembros y a la organización?,"1 (Nada), 2 (Poco), 3 (Moderadamente), 4 (Bastante), 5 (Mucho)",Likert,1.0,"Depende de la pregunta 16. Si marcó Sí, mostrar la pregunta"
17,,18,Humana,Red de conocimiento,¿La organización ha implementado redes de conocimiento?,"Sí, No",,,"En el caso de ARPL, no mostrar la pregunta. Se marca directamente como 1"
18,,19,Humana,Red de conocimiento,¿Cuánto considera que las redes de conocimiento han beneficiado a los miembros?,"1 (Nada), 2 (Poco), 3 (Moderadamente), 4 (Bastante), 5 (Mucho)",Likert,1.0,"Depende de la pregunta 18. Si marcó Sí, mostrar la pregunta. En el caso de ARPL, no mostrar la pregunta. Se marca directamente como 1"
19,,20,Humana,Motivacion,"En su opinión, ¿cuál es el impacto de la gestión del conocimiento en el desarrollo profesional y personal de los colaboradores?","1 (Ninguno), 2 (Poco impacto), 3 (Impacto moderado), 4 (Alto impacto), 5 (Muy alto impacto)",Likert,,
20,,21,Humana,Motivacion,¿En qué nivel percibe que se encuentra la motivación de los colaboradores para participar en iniciativas de gestión del conocimiento?,"1 (Muy baja), 5 (Muy alta)",Likert,,
21,,22,Humana,Motivacion,La organización ofrece reconocimientos a sus colaboradores por su participación en la estrategia de gestión del conocimiento,"Sí, No, No sé",Sí o No,,"""No sé"" igual a ""No"". ""No sé"" = 1"
22,,23,Humana,Motivacion,¿Considera que los reconocimientos ofrecidos motivan a las personas a participar en la estrategia de gestión del conocimiento?,"1 (Muy en desacuerdo), 5 (Muy de acuerdo)",Likert,1.0,"Depende de la pregunta 22. Si marcó Sí, mostrar la pregunta"
23,,24,Procesos,Matriz de conocimiento,¿Conoce usted las matrices de conocimiento?,"Sí, No",Sí o No,,
24,,25,Procesos,Matriz de conocimiento,¿Cuán efectivo considera el uso de las matrices de conocimiento estratégico en la organización?,"1 (Nada efectivo), 2 (Poco efectivo), 3 (Moderadamente efectivo), 4 (Efectivo), 5 (Muy efectivo)",Likert,1.0,"Depende de la pregunta 24. Si marcó Sí, mostrar la pregunta"
25,,26,Procesos,Ciclos de conversion,"¿La organización ha desarrollado los procesos y las herramientas necesarios para la identificación, la captura del conocimiento, el almacenamiento, la distribución (biblioteca, foro, agenda, directorio, eventos de aprendizaje y socialización), y la aplicación del conocimiento?","Sí, No",Sí o No,,
26,,27,Procesos,Ciclos de conversion,"¿Cuán efectivas han sido las herramientas tecnológicas para la identificación, la captura, el almacenamiento, la distribución y la aplicación del conocimiento?","1 (Nada efectivo), 2 (Poco efectivo), 3 (Moderadamente efectivo), 4 (Efectivo), 5 (Muy efectivo)",Likert,1.0,"Depende de la pregunta 26. Si marcó Sí, mostrar la pregunta"
27,,28,Procesos,Procesos,¿Conoces los procesos de la gestión del conocimiento implementados en la organización?,"Sí, No",Sí o No,,
28,,29,Procesos,Procesos,¿Cuánto considera que los procesos implementados para la gestión del conocimiento contribuyen a mejorar la productividad de los colaboradores?,"1 (Nada), 2 (Poco), 3 (Moderadamente), 4 (Bastante), 5 (Mucho)",Likert,1.0,"Depende de la pregunta 28. Si marcó Sí, mostrar la pregunta"
29,,30,Procesos,Roles,"¿La organización ha definido, formalizado, documentado (a través de manuales o con la descripción de trabajo) y comunicado los roles necesarios para la gestión del conocimiento dentro de la organización?","Sí, No, No sé",Opción única,,"""No sé"" igual a ""No"". ""No sé"" = 1"
30,,31,Procesos,Roles,"¿Cuánto considera que los colaboradores conocen, han asumido y realizan los roles definidos por la organización para la gestión del conocimiento?","1 (Nada), 2 (Poco), 3 (Moderadamente), 4 (Bastante), 5 (Mucho)",Likert,1.0,"Depende de la pregunta 30. Si marcó Sí, mostrar la pregunta"
31,,32,Tecnologia,Tipo de tecnologia,¿Considera que la organización ha implementado herramientas tecnológicas necesarias para la gestión del conocimiento?,"Sí, No",Sí o No,,
32,,33,Tecnologia,Tipo de tecnologia,¿Cuán efectivas considera que son las herramientas tecnológicas (Viva Engage y Sharepoint) para la gestión del conocimiento en la organización?,"1 (Nada efectivas), 2 (Poco efectivas), 3 (Moderadamente efectivas), 4 (Efectivas), 5 (Muy efectivas)",Likert,1.0,"Depende de la pregunta 32. Si marcó Sí, mostrar la pregunta. De haber marcado ""No"", marcar 1"
33,,34,Tecnologia,Uso de tecnologia,¿Cuánto considera que la capacitación brindada a los colaboradores sobre las herramientas tecnológicas ha sido óptima?,"1 (Muy en desacuerdo), 5 (Muy de acuerdo)",Likert,1.0,"Depende de la pregunta 32. Si marcó Sí, mostrar la pregunta. De haber marcado ""No"", marcar 1"
34,,35,Indicadores,Operativos,¿La organización ha implementado indicadores que miden la participación y aporte de los colaboradores en la estrategia de gestión del conocimiento?,"Sí, No",Sí o No,,
35,,36,Indicadores,Operativos,¿Cuán efectivos considera que son los indicadores que miden la participación y aporte de los colaboradores en la estrategia de gestión del conocimiento?,"1 (Nada efectivas), 2 (Poco efectivas), 3 (Moderadamente efectivas), 4 (Efectivas), 5 (Muy efectivas)",Likert,1.0,"Depende de la pregunta 35. Si marcó sí, mostrar la pregunta"
36,,37,Indicadores,Valor,¿La organización ha implementado indicadores que miden el valor que aporta la estrategia de gestión del conocimiento a la organización?,"Sí, No",Sí o No,,
37,,38,Indicadores,Valor,¿Cuán efectivas considera que son los indicadores que miden el valor que aporta la estrategia de gestión del conocimiento a la organización?,"1 (Nada efectivas), 2 (Poco efectivas), 3 (Moderadamente efectivas), 4 (Efectivas), 5 (Muy efectivas)",Likert,1.0,"Depende de la pregunta 37. Si marcó sí, mostrar la pregunta"
